,num_sequences,unique_locations,total_visits,loc_entropy,normalized_entropy,top_1_concentration,top_3_concentration,top_5_concentration,target_in_history_rate,target_normalized_entropy,most_frequent_loc_pct
1,88.0,8.0,800.0,1.5913949577011972,0.530464985900399,47.875,93.75,97.125,90.9090909090909,0.5218807487513428,47.875
2,512.0,31.0,11137.0,2.55213689536808,0.5151465011625231,38.358624405136034,80.34479662386639,91.11071204094459,89.6484375,0.5200191618490074,38.358624405136034
3,41.0,7.0,221.0,2.1030409887098123,0.7491183149611961,47.05882352941176,82.35294117647058,97.73755656108597,78.04878048780488,0.748730441519607,47.05882352941176
4,171.0,19.0,3584.0,1.7780016082775587,0.4185574265687553,72.51674107142857,86.21651785714286,89.36941964285714,87.13450292397661,0.4217558373198009,72.51674107142857
5,100.0,38.0,649.0,3.056913932186713,0.5824992674452599,55.932203389830505,65.33127889060091,71.80277349768875,62.0,0.6072111743215671,55.932203389830505
6,398.0,11.0,10356.0,0.335132458077366,0.09687500578762065,96.06025492468135,98.40672074159907,99.17921977597528,97.48743718592965,0.11616110947272855,96.06025492468135
7,496.0,50.0,14711.0,3.165362696371768,0.56085105465774,28.89674393311128,72.91142682346543,82.04064985385085,87.90322580645162,0.5741228490844271,28.89674393311128
8,457.0,54.0,9681.0,2.962531773174583,0.5147853493332165,34.1183762008057,80.72513170127053,83.33849808904039,84.68271334792122,0.529459246786455,34.1183762008057
9,49.0,11.0,283.0,1.2693120937027944,0.3669134799093929,79.50530035335689,91.16607773851591,95.40636042402826,81.63265306122449,0.446935624835299,79.50530035335689
10,24.0,11.0,133.0,1.741751318184031,0.5034790422798191,66.9172932330827,87.96992481203007,93.98496240601504,75.0,0.5721909173463148,66.9172932330827
11,408.0,71.0,7818.0,3.976375672456644,0.6465917370561592,27.564594525454076,56.24200562803786,67.20388846252239,73.52941176470588,0.6571312622136631,27.564594525454076
12,334.0,38.0,5562.0,2.9966224730492987,0.5710106447493546,44.46242358863718,74.91909385113269,81.35562747213233,76.94610778443113,0.5822466360230792,44.46242358863718
13,93.0,19.0,1191.0,2.037283524450402,0.47959470071062416,49.622166246851386,86.56591099916037,89.00083963056255,84.94623655913979,0.5064566468277742,49.622166246851386
14,269.0,19.0,3918.0,2.487689960863722,0.5856243904800237,44.793261868300156,79.17304747320061,89.02501276161307,89.21933085501858,0.5835950766093777,44.793261868300156
15,202.0,19.0,3493.0,2.071277179451539,0.48759711009580226,43.02891497280275,89.17835671342685,92.67105639851131,88.61386138613861,0.4912289986163442,43.02891497280275
16,131.0,10.0,1453.0,1.759658198415263,0.5297098998390356,44.94150034411562,93.73709566414315,96.49002064693737,91.6030534351145,0.5440540608077431,44.94150034411562
17,450.0,107.0,11334.0,4.662486162566297,0.6916129934287952,35.009705311452265,46.3384506793718,52.929239456502565,58.666666666666664,0.6980076858122736,35.009705311452265
18,168.0,19.0,3461.0,3.0761202241482835,0.7241461193518871,28.806703264952326,59.69373013579891,80.81479341230859,84.52380952380952,0.7310768640358157,28.806703264952326
19,149.0,29.0,2248.0,3.3141069683031037,0.6821984218602474,42.971530249110316,63.16725978647687,71.39679715302492,73.8255033557047,0.6597694692352258,42.971530249110316
20,454.0,46.0,9675.0,2.3129070116455583,0.4187346914990746,44.85788113695091,85.27131782945736,87.96899224806202,87.66519823788546,0.4367868773243634,44.85788113695091
21,17.0,7.0,99.0,2.469998971447862,0.8798313857791509,31.313131313131315,71.71717171717171,87.87878787878788,64.70588235294117,0.8730915782835221,31.313131313131315
22,1054.0,40.0,45459.0,1.2403064766451106,0.23305585016014038,83.80958666050728,90.83129853274379,94.6589234255043,92.40986717267552,0.23891777934109196,83.80958666050728
23,457.0,68.0,9438.0,3.3690476930451383,0.553440370956441,37.38080101716466,69.77113795295612,74.21063784700148,73.08533916849015,0.5499069933070734,37.38080101716466
24,148.0,6.0,1510.0,1.55558011750161,0.6017805353337359,48.80794701986755,98.47682119205298,99.86754966887416,93.24324324324324,0.6003704852836926,48.80794701986755
25,508.0,74.0,13404.0,3.931692866217962,0.6331785802565125,22.59027156072814,58.65413309459863,73.09758281110116,75.39370078740157,0.6305737626457291,22.59027156072814
26,302.0,27.0,4775.0,2.0264929936458653,0.426191575031757,50.01047120418848,89.46596858638743,92.94240837696334,90.06622516556291,0.42860668881911806,50.01047120418848
27,61.0,14.0,355.0,2.037164864713697,0.5350604045111598,64.50704225352113,83.09859154929578,88.16901408450704,65.57377049180327,0.5398872228491525,64.50704225352113
28,121.0,8.0,2107.0,1.9808025870375041,0.6602675290125014,46.55908875177978,85.80920740389179,97.05742762221168,95.0413223140496,0.7574071750230124,46.55908875177978
29,243.0,41.0,3347.0,2.8036019353732544,0.5232990613915862,40.633403047505226,77.352853301464,82.22288616671646,77.77777777777779,0.5259240747585302,40.633403047505226
30,322.0,21.0,5968.0,2.12007114109823,0.48267712394906687,43.5656836461126,88.00268096514745,93.02949061662198,87.88819875776397,0.481808902037419,43.5656836461126
31,146.0,13.0,1872.0,2.4452489627216405,0.6607995668012141,47.59615384615385,77.77777777777779,88.9423076923077,86.98630136986301,0.6873561319320588,47.59615384615385
32,293.0,25.0,5071.0,2.3574805291831633,0.5076558000168231,35.29875764149083,88.58213370143956,92.21060934726879,89.419795221843,0.518304967503275,35.29875764149083
